Player,Nation,Pos,Squad,Age,Goals,Shots,Shots on Target,Shots on Target %,Average Shot Distance,Freekicks Attempted,Penalties Scored,Penalties Attempted,xG,Non-penalty xG,Non-penalty xG/shot,Goals - xG,Non-penalty Goals - Non-penalty xG,Passes Completed,Passes Attempted,Pass Completion %,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Short Pass Completion %,Medium Passes Completed,Medium Passes Attempted,Medium Pass Completion %,Long Passes Completed,Long Passes Attempted,Long Pass Completion %,Assists,xA,Assists - xA,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes Completed,Open-play Passes,Dead-ball Passes,Free-kick Passes,Throughballs,Passes under Pressure,Switches,Crosses,Corner Kicks,Inswinging Corners,Outswinging Corners,Straight Corners,Ground Passes,Low Passes,High Passes,Passes from Left Foot,Passes from Right Foot,Headed Passes,Throw-ins Taken,Passes from Other Bodypart,Offside Passes,Out-of-bound Passes,Passes Intercepted,Passes Blocked,Shot-creating Actions,Open-play Shot-creating Passes,Dead-ball Shot-creating Actions,Shot-creating Dribbles,Shot-creating Shots,Shot-creating Actions Fouls Drawn,Shot-creating Defensive Actions,Goal-creating Actions,Open-play Goal-creating Passes,Dead-ball Goal-creating Actions,Goal-creating Dribbles,Goal-creating Shots,Goal-creating Fouls Drawn,Goal-creating Defensive Actions,Action leading to Opposition Own-goal,Tackles Attempted,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Final Third Tackles,Successful Tackles vs Dribblers,Attempted Tackles vs Dribblers,Tackle success % vs Dribblers,Unsuccessful Tackles vs Dribblers,Pressures,Successful Pressures,Pressure Success %,Defensive Third Pressures,Middle Third Pressures,Final Third Pressures,Blocks,Shots Blocked,Shot on Target Blocked,Interceptions,Clearances,Errors,Touches,Touches in Own Penalty Area,Touches in Defensive Third,Touches in Middle Third,Touches in Attacking Third,Touches in Penalty Area,Open-play Touches,Successful Dribbles,Attempted Dribbles,Dribble Success %,Number of Players Dribbled,Nutmegs,Carries,Total Distance Carried,Progressive Distance Carried,Progressive Carries,Carries into Final Third,Carries into Penalty Area,Times Misplaced,Times Dispossessed,Attempted Ball Receipts,Successful Ball Receipts,Successful Ball Receipt %,Progressive Passes Received,90s,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own-goals,Recoveries,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Success %,Turnovers,Open-play Shot-creating Actions,Non-penalty Goals
Gemma Evans,wal WAL,DF,Bristol City,24-262,1.0,3.0,1.0,33.3,8.4,0.0,0.0,0.0,0.2,0.2,0.07,0.8,0.8,338.0,466.0,72.5,7221.0,2730.0,90.0,107.0,84.1,185.0,221.0,83.7,57.0,120.0,47.5,1.0,0.1,0.9,3.0,15.0,2.0,0.0,17.0,436.0,30.0,21.0,0.0,70.0,8.0,0.0,0.0,0.0,0.0,0.0,282.0,64.0,120.0,372.0,37.0,35.0,7.0,0.0,1.0,20.0,11.0,12.0,6.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,46.0,24.0,33.0,13.0,0.0,8.0,24.0,33.3,16.0,235.0,67.0,28.5,174.0,58.0,3.0,56.0,23.0,0.0,39.0,113.0,2.0,725.0,179.0,530.0,207.0,14.0,9.0,695.0,1.0,4.0,25.0,2.0,0.0,276.0,1672.0,933.0,10.0,1.0,0.0,3.0,5.0,280.0,265.0,94.6,1.0,17.0,1.0,0.0,0.0,14.0,11.0,2.0,0.0,0.0,0.0,159.0,30.0,17.0,63.8,8.0,6.0,1.0
Lisa Evans,sco SCO,"DF,FW",Arsenal,28-334,2.0,4.0,3.0,75.0,11.7,0.0,0.0,0.0,0.7,0.7,0.18,1.3,1.3,234.0,294.0,79.6,3786.0,1654.0,121.0,133.0,91.0,96.0,119.0,80.7,14.0,29.0,48.3,1.0,1.8,-0.8,9.0,18.0,8.0,2.0,34.0,239.0,55.0,5.0,0.0,37.0,4.0,16.0,0.0,0.0,0.0,0.0,185.0,75.0,34.0,37.0,197.0,8.0,50.0,0.0,0.0,6.0,7.0,10.0,15.0,12.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,2.0,5.0,3.0,4.0,10.0,40.0,6.0,51.0,16.0,31.4,19.0,13.0,19.0,5.0,0.0,0.0,6.0,8.0,0.0,340.0,7.0,84.0,137.0,138.0,21.0,287.0,4.0,6.0,66.7,4.0,0.0,198.0,931.0,588.0,34.0,11.0,7.0,4.0,8.0,266.0,208.0,78.2,34.0,5.2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,43.0,3.0,1.0,75.0,12.0,14.0,2.0
Marisa Ewers,de GER,"MF,DF",Aston Villa LFC,32-055,0.0,9.0,1.0,11.1,19.5,0.0,0.0,0.0,0.3,0.3,0.03,-0.3,-0.3,321.0,440.0,73.0,6241.0,1695.0,133.0,160.0,83.1,127.0,150.0,84.7,53.0,106.0,50.0,0.0,0.3,-0.3,2.0,31.0,5.0,1.0,33.0,433.0,7.0,4.0,0.0,86.0,11.0,1.0,1.0,1.0,0.0,0.0,253.0,70.0,117.0,66.0,338.0,18.0,2.0,4.0,1.0,20.0,11.0,16.0,5.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,38.0,25.0,24.0,12.0,2.0,16.0,43.0,37.2,27.0,238.0,89.0,37.4,107.0,109.0,22.0,17.0,1.0,0.0,35.0,40.0,0.0,618.0,53.0,247.0,344.0,58.0,7.0,611.0,7.0,16.0,43.8,9.0,2.0,326.0,1568.0,671.0,22.0,6.0,1.0,11.0,11.0,386.0,324.0,83.9,6.0,12.8,0.0,0.0,0.0,16.0,14.0,0.0,1.0,0.0,0.0,135.0,20.0,12.0,62.5,22.0,5.0,0.0
Anna Filbey,wal WAL,"DF,MF",Tottenham,21-191,1.0,1.0,1.0,100.0,5.0,0.0,0.0,0.0,0.1,0.1,0.11,0.9,0.9,64.0,82.0,78.0,1510.0,572.0,15.0,17.0,88.2,31.0,34.0,91.2,15.0,24.0,62.5,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,77.0,5.0,4.0,0.0,19.0,5.0,0.0,0.0,0.0,0.0,0.0,41.0,17.0,24.0,11.0,61.0,6.0,1.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,27.0,5.0,18.5,13.0,10.0,4.0,6.0,2.0,0.0,3.0,9.0,0.0,103.0,19.0,61.0,43.0,3.0,1.0,98.0,1.0,1.0,100.0,1.0,0.0,58.0,333.0,160.0,3.0,0.0,0.0,0.0,1.0,54.0,52.0,96.3,1.0,2.6,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,27.0,2.0,1.0,66.7,1.0,0.0,1.0
Megan Finnigan,eng ENG,DF,Everton,23-018,1.0,10.0,3.0,30.0,9.1,0.0,0.0,0.0,0.7,0.7,0.08,0.3,0.3,977.0,1190.0,82.1,23028.0,7383.0,179.0,209.0,85.6,576.0,627.0,91.9,216.0,337.0,64.1,1.0,0.1,0.9,4.0,57.0,2.0,0.0,47.0,1154.0,36.0,29.0,1.0,106.0,30.0,3.0,0.0,0.0,0.0,0.0,852.0,95.0,243.0,56.0,1071.0,43.0,7.0,1.0,6.0,27.0,20.0,11.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,11.0,20.0,3.0,0.0,10.0,20.0,50.0,10.0,159.0,56.0,35.2,98.0,57.0,4.0,27.0,10.0,1.0,22.0,93.0,1.0,1373.0,257.0,930.0,472.0,34.0,14.0,1339.0,12.0,14.0,85.7,12.0,2.0,991.0,5120.0,2941.0,31.0,2.0,0.0,2.0,7.0,1015.0,995.0,98.0,3.0,18.5,3.0,0.0,0.0,12.0,6.0,1.0,0.0,1.0,0.0,167.0,31.0,17.0,64.6,9.0,10.0,1.0
Jess Fishlock,wal WAL,MF,Reading,34-096,2.0,34.0,9.0,26.5,22.1,1.0,0.0,0.0,1.8,1.8,0.05,0.2,0.2,554.0,763.0,72.6,10292.0,4001.0,241.0,299.0,80.6,227.0,286.0,79.4,76.0,141.0,53.9,3.0,2.3,0.7,30.0,72.0,17.0,0.0,91.0,727.0,36.0,17.0,6.0,132.0,10.0,10.0,10.0,7.0,1.0,0.0,498.0,125.0,140.0,73.0,636.0,32.0,6.0,4.0,5.0,20.0,32.0,26.0,55.0,38.0,3.0,4.0,2.0,4.0,4.0,6.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,45.0,31.0,19.0,18.0,8.0,6.0,27.0,22.2,21.0,294.0,118.0,40.1,82.0,144.0,68.0,48.0,9.0,1.0,32.0,33.0,0.0,1034.0,87.0,307.0,544.0,262.0,34.0,1000.0,21.0,35.0,60.0,23.0,3.0,672.0,3670.0,2213.0,89.0,28.0,8.0,31.0,25.0,675.0,591.0,87.6,55.0,17.8,2.0,0.0,0.0,15.0,27.0,0.0,0.0,0.0,0.0,221.0,15.0,18.0,45.5,56.0,52.0,2.0
Grace Fisk,eng ENG,DF,West Ham,23-105,0.0,2.0,2.0,100.0,8.5,0.0,0.0,0.0,0.2,0.2,0.11,-0.2,-0.2,574.0,727.0,79.0,12895.0,4929.0,161.0,187.0,86.1,285.0,335.0,85.1,123.0,189.0,65.1,0.0,0.0,0.0,0.0,45.0,2.0,2.0,50.0,670.0,57.0,33.0,1.0,73.0,21.0,8.0,0.0,0.0,0.0,0.0,437.0,96.0,194.0,81.0,555.0,49.0,24.0,1.0,6.0,12.0,12.0,14.0,7.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,21.0,27.0,5.0,0.0,13.0,22.0,59.1,9.0,190.0,56.0,29.5,104.0,80.0,6.0,24.0,10.0,0.0,25.0,122.0,3.0,933.0,136.0,571.0,384.0,37.0,3.0,877.0,4.0,7.0,57.1,5.0,0.0,465.0,2762.0,1628.0,29.0,6.0,0.0,2.0,4.0,488.0,467.0,95.7,3.0,17.0,1.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,1.0,189.0,33.0,24.0,57.9,6.0,7.0,0.0
Cecilie Fiskerstrand,no NOR,GK,Brighton,25-031,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,182.0,261.0,69.7,5035.0,2505.0,25.0,25.0,100.0,79.0,81.0,97.5,75.0,152.0,49.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,179.0,82.0,15.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,129.0,10.0,122.0,30.0,178.0,0.0,0.0,38.0,0.0,17.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,274.0,234.0,274.0,1.0,0.0,0.0,193.0,0.0,0.0,,0.0,0.0,133.0,902.0,519.0,0.0,0.0,0.0,0.0,0.0,107.0,106.0,99.1,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,,0.0,0.0,0.0
Gilly Flaherty,eng ENG,DF,West Ham,29-239,0.0,4.0,0.0,0.0,12.2,0.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1,459.0,582.0,78.9,10556.0,3956.0,109.0,136.0,80.1,254.0,282.0,90.1,95.0,154.0,61.7,0.0,0.3,-0.3,5.0,26.0,4.0,0.0,35.0,557.0,25.0,19.0,0.0,62.0,11.0,2.0,0.0,0.0,0.0,0.0,361.0,71.0,150.0,54.0,464.0,44.0,6.0,2.0,2.0,15.0,16.0,7.0,13.0,8.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,10.0,9.0,5.0,2.0,3.0,7.0,42.9,4.0,140.0,48.0,34.3,82.0,53.0,5.0,29.0,14.0,0.0,20.0,106.0,3.0,757.0,126.0,448.0,319.0,31.0,11.0,734.0,1.0,1.0,100.0,1.0,0.0,403.0,2144.0,989.0,15.0,5.0,0.0,3.0,2.0,426.0,405.0,95.1,5.0,15.4,5.0,1.0,1.0,12.0,6.0,1.0,0.0,0.0,0.0,147.0,31.0,17.0,64.6,5.0,11.0,0.0
Jessie Fleming,ca CAN,"MF,FW",Chelsea,23-040,0.0,5.0,0.0,0.0,18.2,0.0,0.0,0.0,0.2,0.2,0.04,-0.2,-0.2,214.0,252.0,84.9,3583.0,662.0,117.0,128.0,91.4,72.0,83.0,86.7,22.0,29.0,75.9,0.0,0.2,-0.2,4.0,26.0,7.0,0.0,22.0,245.0,7.0,1.0,0.0,33.0,5.0,3.0,4.0,0.0,1.0,1.0,202.0,29.0,21.0,47.0,194.0,5.0,2.0,1.0,1.0,5.0,6.0,7.0,13.0,12.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,9.0,4.0,6.0,2.0,2.0,8.0,25.0,6.0,121.0,44.0,36.4,30.0,61.0,30.0,6.0,0.0,0.0,9.0,1.0,0.0,309.0,2.0,27.0,165.0,133.0,22.0,302.0,12.0,15.0,80.0,13.0,1.0,229.0,910.0,335.0,24.0,4.0,4.0,10.0,8.0,261.0,224.0,85.8,30.0,4.4,0.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,44.0,3.0,7.0,30.0,18.0,13.0,0.0
Emma Follis,eng ENG,FW,Aston Villa LFC,29-104,0.0,8.0,2.0,25.0,17.8,0.0,0.0,0.0,0.6,0.6,0.08,-0.6,-0.6,173.0,250.0,69.2,3066.0,1202.0,78.0,103.0,75.7,71.0,90.0,78.9,19.0,38.0,50.0,3.0,1.5,1.5,11.0,13.0,15.0,3.0,32.0,228.0,22.0,3.0,0.0,47.0,3.0,15.0,6.0,1.0,1.0,2.0,154.0,55.0,41.0,33.0,197.0,5.0,11.0,0.0,0.0,6.0,9.0,19.0,24.0,15.0,1.0,4.0,2.0,0.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,15.0,6.0,10.0,3.0,7.0,28.0,25.0,21.0,162.0,43.0,26.5,42.0,82.0,38.0,11.0,1.0,0.0,3.0,2.0,0.0,352.0,6.0,62.0,178.0,141.0,23.0,331.0,15.0,32.0,46.9,17.0,3.0,248.0,1374.0,743.0,32.0,14.0,8.0,25.0,18.0,323.0,230.0,71.2,42.0,8.1,0.0,0.0,0.0,6.0,3.0,2.0,0.0,0.0,0.0,56.0,4.0,5.0,44.4,43.0,23.0,0.0
Caitlin Foord,au AUS,FW,Arsenal,26-160,10.0,33.0,15.0,45.5,13.6,0.0,0.0,0.0,7.3,7.3,0.22,2.7,2.7,240.0,319.0,75.2,3703.0,975.0,139.0,171.0,81.3,72.0,86.0,83.7,18.0,31.0,58.1,5.0,2.3,2.7,15.0,9.0,10.0,2.0,29.0,313.0,6.0,0.0,0.0,76.0,5.0,16.0,4.0,1.0,0.0,0.0,239.0,44.0,36.0,62.0,244.0,5.0,1.0,4.0,1.0,9.0,9.0,18.0,32.0,21.0,1.0,3.0,4.0,1.0,2.0,10.0,7.0,0.0,2.0,1.0,0.0,0.0,0.0,13.0,6.0,3.0,5.0,5.0,5.0,16.0,31.3,11.0,136.0,46.0,33.8,29.0,51.0,56.0,16.0,2.0,0.0,5.0,3.0,0.0,483.0,2.0,64.0,188.0,261.0,80.0,477.0,21.0,33.0,63.6,24.0,1.0,390.0,1862.0,995.0,53.0,15.0,14.0,33.0,42.0,551.0,363.0,65.9,115.0,12.3,1.0,0.0,0.0,14.0,17.0,9.0,0.0,0.0,0.0,70.0,7.0,14.0,33.3,75.0,31.0,10.0
Jorja Fox,eng ENG,DF,Chelsea,17-235,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,8.0,10.0,80.0,148.0,30.0,2.0,2.0,100.0,6.0,6.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,7.0,5.0,0.0,10.0,0.0,0.0,,0.0,0.0,8.0,54.0,29.0,1.0,1.0,0.0,0.0,0.0,10.0,9.0,90.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
Ella Franklin-Fraiture,eng ENG,DF,Aston Villa LFC,23-279,0.0,3.0,0.0,0.0,16.1,0.0,0.0,0.0,0.2,0.2,0.05,-0.2,-0.2,292.0,406.0,71.9,5114.0,2537.0,136.0,159.0,85.5,119.0,164.0,72.6,31.0,63.0,49.2,0.0,0.2,-0.2,4.0,18.0,7.0,2.0,25.0,277.0,129.0,6.0,0.0,63.0,4.0,11.0,1.0,1.0,0.0,0.0,187.0,104.0,115.0,46.0,225.0,9.0,122.0,1.0,2.0,16.0,13.0,13.0,8.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,10.0,14.0,7.0,3.0,6.0,16.0,37.5,10.0,150.0,49.0,32.7,74.0,56.0,20.0,27.0,6.0,0.0,18.0,25.0,0.0,558.0,31.0,221.0,252.0,112.0,6.0,433.0,18.0,29.0,62.1,18.0,1.0,302.0,1441.0,801.0,38.0,5.0,2.0,15.0,20.0,306.0,259.0,84.6,5.0,8.9,0.0,0.0,0.0,6.0,17.0,2.0,0.0,0.0,0.0,66.0,5.0,10.0,33.3,35.0,8.0,0.0
Ivana Fuso,br BRA,"FW,MF",Manchester Utd,20-039,0.0,3.0,0.0,0.0,15.3,0.0,0.0,0.0,0.3,0.3,0.11,-0.3,-0.3,27.0,32.0,84.4,344.0,85.0,19.0,22.0,86.4,5.0,6.0,83.3,2.0,2.0,100.0,0.0,0.1,-0.1,1.0,3.0,2.0,0.0,4.0,30.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,5.0,2.0,1.0,26.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,19.0,6.0,31.6,3.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,3.0,20.0,30.0,8.0,46.0,3.0,3.0,100.0,3.0,0.0,36.0,182.0,123.0,6.0,3.0,1.0,6.0,4.0,51.0,34.0,66.7,14.0,1.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,100.0,10.0,2.0,0.0
Jeon Ga-eul,kr KOR,"MF,FW",Reading,32-218,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,24.0,31.0,77.4,400.0,90.0,10.0,12.0,83.3,12.0,13.0,92.3,2.0,6.0,33.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,31.0,0.0,0.0,0.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,20.0,4.0,7.0,4.0,26.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,2.0,1.0,2.0,4.0,50.0,2.0,28.0,12.0,42.9,6.0,16.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,42.0,0.0,8.0,20.0,17.0,2.0,42.0,2.0,4.0,50.0,2.0,1.0,34.0,182.0,44.0,1.0,0.0,1.0,0.0,2.0,33.0,22.0,66.7,4.0,0.8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,2.0,2.0,0.0
Leah Galton,eng ENG,"FW,DF",Manchester Utd,26-331,6.0,28.0,14.0,50.0,13.0,0.0,0.0,0.0,5.0,5.0,0.18,1.0,1.0,325.0,506.0,64.2,5344.0,1932.0,173.0,217.0,79.7,117.0,178.0,65.7,27.0,85.0,31.8,2.0,3.4,-1.4,32.0,32.0,12.0,5.0,41.0,452.0,54.0,5.0,1.0,97.0,23.0,57.0,18.0,13.0,2.0,1.0,294.0,73.0,139.0,330.0,104.0,24.0,31.0,1.0,1.0,31.0,15.0,15.0,59.0,44.0,4.0,6.0,1.0,2.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,15.0,11.0,14.0,5.0,6.0,14.0,42.9,8.0,150.0,57.0,38.0,41.0,59.0,50.0,28.0,1.0,0.0,10.0,21.0,2.0,702.0,24.0,130.0,271.0,340.0,78.0,649.0,23.0,42.0,54.8,24.0,0.0,438.0,2935.0,1918.0,91.0,16.0,26.0,28.0,21.0,622.0,425.0,68.3,100.0,14.1,0.0,0.0,0.0,4.0,23.0,15.0,0.0,0.0,0.0,121.0,20.0,8.0,71.4,49.0,55.0,6.0
Valérie Gauvin,fr FRA,FW,Everton,24-323,5.0,23.0,5.0,21.7,11.0,0.0,2.0,2.0,3.9,2.4,0.1,1.1,0.6,92.0,141.0,65.2,1405.0,359.0,46.0,64.0,71.9,26.0,36.0,72.2,11.0,21.0,52.4,1.0,1.2,-0.2,6.0,6.0,5.0,1.0,10.0,130.0,11.0,0.0,1.0,52.0,6.0,5.0,0.0,0.0,0.0,0.0,92.0,23.0,26.0,17.0,108.0,3.0,0.0,3.0,0.0,8.0,5.0,6.0,12.0,8.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,2.0,2.0,0.0,3.0,0.0,3.0,154.0,62.0,40.3,6.0,47.0,101.0,4.0,0.0,0.0,3.0,7.0,1.0,252.0,8.0,19.0,122.0,119.0,46.0,239.0,9.0,16.0,56.3,10.0,2.0,160.0,523.0,172.0,14.0,2.0,6.0,31.0,19.0,363.0,181.0,49.9,60.0,8.1,0.0,0.0,0.0,7.0,2.0,4.0,0.0,0.0,0.0,29.0,26.0,21.0,55.3,50.0,12.0,3.0
Gabrielle George,eng ENG,DF,Everton,24-077,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,132.0,171.0,77.2,2753.0,1093.0,35.0,48.0,72.9,77.0,87.0,88.5,20.0,32.0,62.5,0.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0,145.0,26.0,4.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,28.0,37.0,101.0,39.0,7.0,22.0,1.0,0.0,7.0,7.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,,0.0,16.0,7.0,43.8,10.0,3.0,3.0,6.0,3.0,0.0,5.0,7.0,0.0,196.0,35.0,127.0,68.0,14.0,2.0,170.0,1.0,1.0,100.0,1.0,0.0,118.0,540.0,311.0,4.0,2.0,0.0,2.0,3.0,133.0,128.0,96.2,0.0,2.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,1.0,75.0,5.0,2.0,0.0
Lee Geum-min,kr KOR,FW,Brighton,27-013,0.0,12.0,5.0,41.7,17.4,0.0,0.0,0.0,0.9,0.9,0.07,-0.9,-0.9,203.0,275.0,73.8,3194.0,670.0,115.0,146.0,78.8,64.0,83.0,77.1,18.0,28.0,64.3,0.0,0.6,-0.6,10.0,9.0,7.0,3.0,15.0,256.0,19.0,0.0,0.0,66.0,6.0,14.0,0.0,0.0,0.0,0.0,207.0,40.0,28.0,27.0,227.0,12.0,1.0,1.0,2.0,7.0,16.0,7.0,18.0,12.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,6.0,3.0,5.0,1.0,2.0,11.0,18.2,9.0,174.0,49.0,28.2,17.0,88.0,69.0,9.0,2.0,0.0,6.0,2.0,0.0,391.0,3.0,42.0,198.0,161.0,25.0,372.0,9.0,15.0,60.0,11.0,1.0,273.0,1202.0,606.0,22.0,4.0,1.0,35.0,19.0,487.0,293.0,60.2,80.0,9.2,1.0,0.0,0.0,9.0,23.0,1.0,0.0,0.0,0.0,48.0,11.0,15.0,42.3,54.0,18.0,0.0
Felicity Gibbons,eng ENG,DF,Brighton,26-285,0.0,6.0,1.0,16.7,15.7,0.0,0.0,0.0,0.3,0.3,0.06,-0.3,-0.3,315.0,449.0,70.2,5405.0,2574.0,160.0,193.0,82.9,126.0,176.0,71.6,28.0,66.0,42.4,2.0,0.8,1.2,5.0,14.0,4.0,2.0,26.0,337.0,112.0,6.0,1.0,89.0,2.0,15.0,1.0,0.0,0.0,1.0,205.0,133.0,111.0,260.0,57.0,20.0,105.0,0.0,3.0,28.0,11.0,18.0,16.0,10.0,2.0,0.0,3.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,10.0,16.0,5.0,1.0,10.0,27.0,37.0,17.0,121.0,33.0,27.3,68.0,34.0,19.0,25.0,3.0,0.0,12.0,35.0,0.0,575.0,38.0,243.0,264.0,97.0,10.0,464.0,6.0,9.0,66.7,6.0,0.0,270.0,1248.0,583.0,26.0,10.0,2.0,8.0,12.0,303.0,269.0,88.8,14.0,9.8,0.0,0.0,0.0,8.0,16.0,1.0,0.0,0.0,0.0,91.0,11.0,9.0,55.0,20.0,14.0,0.0
Hannah Godfrey,sco SCO,DF,Tottenham,23-277,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,239.0,282.0,84.8,5771.0,1700.0,44.0,51.0,86.3,139.0,145.0,95.9,56.0,85.0,65.9,0.0,0.2,-0.2,2.0,8.0,1.0,0.0,8.0,273.0,9.0,9.0,1.0,23.0,12.0,1.0,0.0,0.0,0.0,0.0,198.0,16.0,68.0,27.0,236.0,13.0,0.0,0.0,0.0,7.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,2.0,7.0,28.6,5.0,26.0,8.0,30.8,18.0,7.0,1.0,8.0,2.0,0.0,3.0,37.0,0.0,339.0,60.0,250.0,111.0,4.0,1.0,330.0,3.0,5.0,60.0,3.0,0.0,233.0,1178.0,755.0,5.0,0.0,0.0,2.0,2.0,223.0,219.0,98.2,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,60.0,7.0,4.0,63.6,4.0,2.0,0.0
